column_name,data_type,role,definition,measurement_level,denominator_or_unit,analysis_use,source
economic_inactive_looking_after_home_family_rate_pct,float64,Care-responsibility predictor,The percentage of people aged 16+ who were inactive because they were looking after home or family.,Council area × sex; adult population aged 16+; repeated across HLE age rows,Council-area-and-sex population aged 16+ unless the name states 'among employed',Retained contextual variable; considered descriptively or during feature selection,Scotland's Census 2022 economic activity
economic_active_full_time_student_rate_pct,float64,Economic and population-structure predictor,The percentage of people aged 16+ who were economically active full-time students.,Council area × sex; adult population aged 16+; repeated across HLE age rows,Council-area-and-sex population aged 16+ unless the name states 'among employed',Retained contextual variable; considered descriptively or during feature selection,Scotland's Census 2022 economic activity
economic_part_time_among_employed_pct,float64,Employment-structure predictor,The percentage of employed people whose employee or self-employed work was part time.,Council area × sex; adult population aged 16+; repeated across HLE age rows,Council-area-and-sex population aged 16+ unless the name states 'among employed',Primary modelling feature or subgroup field,Scotland's Census 2022 economic activity
economic_self_employed_among_employed_pct,float64,Employment-structure predictor,The percentage of employed people who were self-employed.,Council area × sex; adult population aged 16+; repeated across HLE age rows,Council-area-and-sex population aged 16+ unless the name states 'among employed',Primary modelling feature or subgroup field,Scotland's Census 2022 economic activity
census_total_population_count,int64,Demographic predictor,The total population count for the council area in the Census ethnic-group table.,Council area; repeated across sex and HLE age rows,Not applicable,Denominator or audit field; not automatically modelled,Scotland's Census 2022 ethnic group
census_ethnic_minority_excluding_white_population_pct,float64,Demographic predictor,The percentage of the council-area population that was not included in the Census White total category.,Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Retained contextual variable; considered descriptively or during feature selection,Scotland's Census 2022 ethnic group
census_ethnic_mixed_or_multiple_population_pct,float64,Demographic predictor,The percentage of people in the Mixed or multiple ethnic-group category.,Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Retained contextual variable; considered descriptively or during feature selection,Scotland's Census 2022 ethnic group
census_ethnic_asian_population_pct,float64,Demographic predictor,"The percentage of people in the Asian, Asian Scottish or Asian British broad category.",Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Retained contextual variable; considered descriptively or during feature selection,Scotland's Census 2022 ethnic group
census_ethnic_african_population_pct,float64,Demographic predictor,The percentage of people in the African broad category.,Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Retained contextual variable; considered descriptively or during feature selection,Scotland's Census 2022 ethnic group
census_ethnic_caribbean_or_black_population_pct,float64,Demographic predictor,The percentage of people in the Caribbean or Black broad category.,Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Retained contextual variable; considered descriptively or during feature selection,Scotland's Census 2022 ethnic group
census_ethnic_other_ethnic_group_population_pct,float64,Demographic diversity predictor,The percentage of people in the Other ethnic groups broad category.,Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Retained contextual variable; considered descriptively or during feature selection,Scotland's Census 2022 ethnic group
census_ethnic_diversity_simpson_index_broad_groups,float64,Demographic diversity predictor,A broad-group Simpson diversity index ranging from 0 toward 1. Higher values indicate a more varied broad ethnic-group composition.,Council area; repeated across sex and HLE age rows,Not applicable,Primary modelling feature or subgroup field,Scotland's Census 2022 ethnic group
census_degree_level_qualification_or_above_population_aged_16plus_pct,float64,Core education predictor,The percentage of people aged 16+ with degree-level qualifications or above.,Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Primary modelling feature or subgroup field,Scotland's Census 2022 education
census_bad_or_very_bad_general_health_age_standardised_pct,float64,Secondary health-status indicator,The age-standardised percentage of people reporting bad or very bad health in the council area.,Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Outcome-adjacent context; descriptive and sensitivity analysis,"Scotland's Census 2022 health, disability and long-term conditions"
census_day_to_day_activities_limited_any_pct,float64,Severe activity-limitation predictor,The percentage of people whose day-to-day activities were limited a lot or limited a little by a long-term health problem or disability.,Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Outcome-adjacent context; descriptive and sensitivity analysis,"Scotland's Census 2022 health, disability and long-term conditions"
census_day_to_day_activities_limited_a_lot_pct,float64,Severe activity-limitation predictor,The percentage of people whose day-to-day activities were limited a lot.,Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Outcome-adjacent context; descriptive and sensitivity analysis,"Scotland's Census 2022 health, disability and long-term conditions"
census_long_term_illness_disease_or_condition_pct,float64,Long-term-condition predictor,"The percentage of people reporting a long-term illness, disease or condition.",Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Outcome-adjacent context; descriptive and sensitivity analysis,"Scotland's Census 2022 health, disability and long-term conditions"
census_mental_health_condition_pct,float64,Long-term-condition predictor,The percentage of people reporting a mental health condition.,Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Outcome-adjacent context; descriptive and sensitivity analysis,"Scotland's Census 2022 health, disability and long-term conditions"
census_physical_disability_pct,float64,Long-term-condition predictor,The percentage of people reporting a physical disability.,Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Outcome-adjacent context; descriptive and sensitivity analysis,"Scotland's Census 2022 health, disability and long-term conditions"
census_learning_disability_difficulty_or_developmental_disorder_pct,float64,Long-term-condition predictor,"The percentage of people reporting one or more of learning disability, learning difficulty or developmental disorder.",Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Outcome-adjacent context; descriptive and sensitivity analysis,"Scotland's Census 2022 health, disability and long-term conditions"
census_deaf_or_hearing_impaired_pct,float64,Long-term-condition predictor,The percentage of people who were Deaf or partially hearing impaired.,Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Outcome-adjacent context; descriptive and sensitivity analysis,"Scotland's Census 2022 health, disability and long-term conditions"
census_blind_or_vision_impaired_pct,float64,Long-term-condition predictor,The percentage of people who were blind or partially vision impaired.,Council area; repeated across sex and HLE age rows,Council-area Census population; exact subgroup stated in the column name,Outcome-adjacent context; descriptive and sensitivity analysis,"Scotland's Census 2022 health, disability and long-term conditions"
hospital_alcohol_related_patients_easr_per_100000_2023_24,int64,Secondary hospital-use and health-burden indicator,"The 2023/24 European age-sex standardised rate of alcohol-related hospital patients per 100,000 population for the council area.",Council area; repeated across sex and HLE age rows,"European age-sex standardised rate per 100,000 population",Outcome-adjacent context; descriptive and sensitivity analysis,Public Health Scotland alcohol-related hospital statistics 2023/24
